DOW,stop_id,firstArrival_mam,lastArrival_mam,trips,averageHeadway,longestHeadway,Percentile90_hw,span_min,span_max,freq_min,span_pass,freq_pass,stop_code,stop_name,stop_desc,platform_code,stop_lat,stop_lon
WD,2861,331,1545,49,25.291666666666668,67,45,420,1140,15,TRUE,FALSE,2861,121 Bunker Hill St opp Lexington St,,,42.378055,-71.059733
WD,28618,313,1479,43,27.761904761904763,60,47.39999999999999,420,1140,15,TRUE,FALSE,28618,785 Washington St @ Norwood Hospital,,,42.189527,-71.202699
WD,2862,332,1546,49,25.291666666666668,67,45,420,1140,15,TRUE,FALSE,2862,Bunker Hill St @ Polk St,,,42.378627,-71.061439
WD,2863,333,1547,49,25.291666666666668,67,45,420,1140,15,TRUE,FALSE,2863,Bunker Hill St @ Pearl St,,,42.379412,-71.063506
WD,2864,333,1547,49,25.291666666666668,67,45,420,1140,15,TRUE,FALSE,2864,Bunker Hill St @ Sackville St,,,42.380271,-71.065203
WD,2865,334,1548,49,25.291666666666668,67,45,420,1140,15,TRUE,FALSE,2865,Bunker Hill St @ N Mead St,,,42.381137,-71.066955
WD,2866,335,1549,49,25.291666666666668,67,45,420,1140,15,TRUE,FALSE,2866,Bunker Hill St @ St Martin St,,,42.381853,-71.068394
WD,2867,336,1550,49,25.291666666666668,67,45,420,1140,15,TRUE,FALSE,2867,Bunker Hill St @ Medford St,,,42.383362,-71.07145
WD,28742,417,1317,21,45,68,65,420,1140,15,TRUE,FALSE,28742,Grand Union Blvd @ Foley St,,,42.392526,-71.08034
WD,28743,391,1326,22,44.523809523809526,65,65,420,1140,15,TRUE,FALSE,28743,Grand Union Blvd @ Foley St,,,42.392206,-71.080411
WD,28746,390,1325,22,44.523809523809526,65,65,420,1140,15,TRUE,FALSE,28746,Grand Union Blvd opp Artisan Way,,,42.394706,-71.081102
WD,2875,282,1526,43,29.61904761904762,60,49.9,420,1140,15,TRUE,FALSE,2875,Mystic Ave @ Union St,,,42.387725,-71.078526
WD,2877,282,1527,43,29.642857142857142,60,49.9,420,1140,15,TRUE,FALSE,2877,Mystic Ave @ Middlesex Ave,,,42.390512,-71.082209
WD,2879,284,1529,43,29.642857142857142,60,49.9,420,1140,15,TRUE,FALSE,2879,Mystic Ave @ Temple Rd,,,42.395563,-71.088935
WD,288,318,1483,180,6.5083798882681565,55,20,420,1140,15,TRUE,TRUE,288,W 6th St @ F St,,,42.334842,-71.0499
WD,2880,285,1529,43,29.61904761904762,60,49.8,420,1140,15,TRUE,FALSE,2880,Mystic Ave @ Shore Dr,,,42.397237,-71.091127
WD,2883,286,1531,43,29.642857142857142,60,49.8,420,1140,15,TRUE,FALSE,2883,Mystic Ave @ Fulbright St,,,42.402252,-71.098132
WD,2884,288,1532,43,29.61904761904762,60,49.8,420,1140,15,TRUE,FALSE,2884,Mystic Ave opp Harvard St,,,42.406714,-71.102326
WD,2885,288,1532,43,29.61904761904762,60,49.699999999999996,420,1140,15,TRUE,FALSE,2885,Mystic Ave opp Billings Ave,,,42.408486,-71.104066
